#config
key	value
coach_name	Maya Patel
coach_title	Spiritual Life Coach & Meditation Guide
coach_type	spiritual
logo_text	Maya Patel
currency	USD
primary_color	#A38AB0
secondary_color	#4A4458
accent_color	#D9B96B
text_dark	#5A5560
bg_light	#F7F2F6
font_heading	Fraunces
font_body	Nunito Sans
site_domain	https://mayapatel.example.com
email	hello@mayapatel.example.com
phone	+1 (555) 888-1111
location	Los Angeles, CA · Global
calcom_link	maya/discovery-call
cta_primary_text	Start your journey
linkedin	https://linkedin.com/in/mayapatel
twitter	https://x.com/mayapatel
instagram	https://instagram.com/mayapatel
facebook
meta_title	Spiritual Life Coaching & Meditation | Maya Patel
meta_description	Find peace, purpose, and alignment. Personalized spiritual coaching to help you live authentically and unlock your highest potential.
meta_keywords	spiritual coach, life coaching, meditation, mindfulness, purpose, spiritual guidance
og_image	https://images.unsplash.com/photo-1506126613408-eca07ce68773?w=1200&q=75&auto=format&fit=crop
show_testimonials	true
show_pricing	true
show_faq	true
show_blog	true
footer_tagline	Guiding you toward peace, purpose, and authentic living.

#nav
label	anchor
About	#about
Services	#services
Pricing	#pricing
Stories	#testimonials
Insights	#blog
FAQ	#faq

#meta
key	value
services_eyebrow	How I guide
services_heading	Services tailored to your spiritual path
services_intro	Meet you where you are on your journey of awakening and growth.
testimonials_eyebrow	Transformation
testimonials_heading	Lives shifted, spirits awakened
testimonials_intro	Real stories from people who found their way back to themselves.
pricing_eyebrow	Investment
pricing_heading	Accessible guidance for every stage
pricing_intro	Choose the level of support that resonates with your journey.
faq_eyebrow	Questions
faq_heading	Common questions about spiritual coaching
faq_intro	Everything you need to know about working together.
blog_eyebrow	Wisdom
blog_heading	Reflections & practices
blog_intro	Essays and guided practices to deepen your inner work.

#hero
key	value
badge	Trusted by 500+ seekers on their transformation
headline	Find your path to *peace* and *purpose*
subheadline	Personalized spiritual guidance to help you awaken to your authentic self, release what no longer serves, and live in alignment with your deepest values.
cta_text	Start your free discovery call
cta_secondary_text	Learn my approach
cta_secondary_url	#services
image	https://images.unsplash.com/photo-1506126613408-eca07ce68773?w=900&q=75&auto=format&fit=crop
image_alt	Maya Patel in a peaceful meditation garden setting
float_icon	sparkles
float_value	15 yrs
float_label	of spiritual practice & study
stat1_value	500+
stat1_label	clients guided
stat2_value	4.9/5
stat2_label	transformation rate
stat3_value	Global
stat3_label	community

#about
key	value
eyebrow	My journey
heading	From seeker to guide — helping others find their light
image	https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=800&q=75&auto=format&fit=crop
image_alt	Maya Patel leading a group meditation session
intro	I help spiritual seekers navigate the journey from confusion to clarity, from resistance to acceptance.
